hex	dec	char	count
#elements			
hex	dec	char	count
0079	121	y	43424
007A	122	z	1450
00B2	178	²	211
00B3	179	³	34
00B9	185	¹	199
00DF	223	ß	2
00E0	224	à	1
00E1	225	á	1
00E4	228	ä	4
00E5	229	å	2
00E8	232	è	4
00E9	233	é	13
00EC	236	ì	1
00F6	246	ö	11
00FC	252	ü	52
0107	263	ć	1
0393	915	Γ	16
0394	916	Δ	6
0398	920	Θ	5
039B	923	Λ	4
039E	926	Ξ	13
03A0	928	Π	14
03A3	931	Σ	23
03A6	934	Φ	10
03A8	936	Ψ	14
03A9	937	Ω	33
03B1	945	α	37
03B2	946	β	38
03B3	947	γ	43
03B4	948	δ	26
03B5	949	ε	7
03B6	950	ζ	3
03B7	951	η	7
03B8	952	θ	5
03BA	954	κ	1
03BB	955	λ	15
03BC	956	μ	10
03BD	957	ν	5
03BE	958	ξ	5
03C0	960	π	17
03C1	961	ρ	7
03C2	962	ς	57
03C3	963	σ	25
03C4	964	τ	10
03C5	965	υ	4
03C6	966	φ	26
03C7	967	χ	21
03C8	968	ψ	19
03C9	969	ω	55
2019	8217	’	1
2070	8304	⁰	2
2074	8308	⁴	18
2075	8309	⁵	10
2076	8310	⁶	3
2077	8311	⁷	2
2080	8320	₀	7
2081	8321	₁	85
2082	8322	₂	44
2083	8323	₃	37
2084	8324	₄	26
2085	8325	₅	13
2086	8326	₆	13
2087	8327	₇	9
2088	8328	₈	5
2089	8329	₉	3
